S.No. (Col. 1),State/UT (Col. 3),Murder - R (Col. 6),Attempt to Commit Murder - R (Col. 9),C.H. Not Amounting To Murder - R (Col. 12),Attempt to Commit Culpable Homicide - R (Col. 15),Rape * - Total Rape (Custodial +Other than Custodial) - R (Col. 18),Rape * - Rape Other than Custodial - Total Rape other than Custodial - R (Col. 30),Rape * - Rape Other than Custodial - Gang Rape - R (Col. 33),Rape * - Rape Other than Custodial - Other Rape - R (Col. 36),Attempt to Commit Rape - R (Col. 39),Kidnaping & Abduction - Kidnapping & Abduction (Total) - R (Col. 42),Kidnaping & Abduction - Kidnapping & Abduction - R (Col. 45),Kidnaping & Abduction - Kidnapping & Abduction - R (Col. 48),Kidnaping & Abduction - K & A for Ransom (Section 364A IPC) - R (Col. 51),Kidnaping & Abduction - K & A of Women To Compel Her For Marriage - R (Col. 54),Other Kidnapping & Abduction - R (Col. 57),Dacoity (Total) - Total Dacoity - R (Col. 60),Dacoity (Total) - Others - R (Col. 66),Making Preparation And Assembly For Committing Dacoity - R (Col. 69),Robbery - R (Col. 72),Criminal Trespass/Burglary - Criminal Trespass/Burglary (Total) - R (Col. 75),Criminal Trespass/Burglary - Criminal Trespass/Burglary - R (Col. 78),Criminal Trespass/Burglary - House Trespass & House Breaking - R (Col. 81),Theft - Theft (Total) - R (Col. 84),Theft - Auto Theft - R (Col. 87),Theft - Other Theft - R (Col. 90),Riots - Riots (Total) - R (Col. 97),Riots - Communal - R (Col. 100),Riots - Political - R (Col. 106),Riots - Total Riots (Caste Conflict) - R (Col. 109),Riots - Other Caste Conflict - R (Col. 115),Riots - Agrarian - R (Col. 118),Riots - Students - R (Col. 121),Riots - Riots Others (excluding previous columns) - R (Col. 127),Criminal Breach of Trust - R (Col. 130),Cheating - R (Col. 133),Forgery - R (Col. 136),Counterfeiting - Counterfeiting (Total) - R (Col. 139),Counterfeiting - Counterfeit Currency & Bank Notes - Counterfeit Currency & Bank Notes (Sub-Total) - R (Col. 148),Counterfeiting - Counterfeit Currency & Bank Notes - Counterfeiting Currency- Notes Or Bank Notes - R (Col. 151),"Counterfeiting - Counterfeit Currency & Bank Notes - Using As Genuine, Forged or Counterfeiting Currency / Bank Notes - R (Col. 154)",Arson - R (Col. 166),"Grievous Hurt (Section 325, 326, 326A & 326B IPC) - Grievous Hurt (Total) - R (Col. 169)","Grievous Hurt (Section 325, 326, 326A & 326B IPC) - Grievous Hurt (Section 325 & 326 IPC) - R (Col. 172)",Dowry Deaths* - R (Col. 181),Assault on Women With Intent to Outrage Her Modesty* - Assault on Women With Intent to Outrage Her Modesty (Total) - R (Col. 184),Assault on Women With Intent to Outrage Her Modesty* - Sexual Harassment (Section 354A IPC) - R (Col. 187),Assault on Women With Intent to Outrage Her Modesty* - Use of Criminal Force With Intent to Disrobe (Section 354B IPC) - R (Col. 190),Assault on Women With Intent to Outrage Her Modesty* - Voyeurism (Section 354C IPC) - R (Col. 193),Assault on Women With Intent to Outrage Her Modesty* - Stalking (Section 354D IPC) - R (Col. 196),Assault on Women With Intent to Outrage Her Modesty* - Others - R (Col. 199),Insult to Modesty of Women (Section 509 IPC)* - Insult to Modesty of Women (Total) - R (Col. 202),Insult to Modesty of Women (Section 509 IPC)* - Other Places Related To Work - R (Col. 208),Insult to Modesty of Women (Section 509 IPC)* - Places Other Than (Previous Columns) - R (Col. 214),Cruelty By Husband Or His Relatives * - R (Col. 217),Causing Death By Negligence - Causing Death By Negligence (Total) - R (Col. 223),Causing Death By Negligence - Deaths Due To Rash/Negligent Driving - R (Col. 226),Causing Death By Negligence - Deaths Due To Other Causes - R (Col. 229),Extortion - R (Col. 250),Causing Injuries under Rash Driving/ Road Rage - R (Col. 256),Human Trafficking (Section 370 & 370A IPC) - R (Col. 259),Unnatural Offences (Section 377 IPC) - R (Col. 262),Other IPC Crimes - R (Col. 265),Total Cognizable IPC Crimes (Excluding Sub Heads) - R (Col. 268)
11,Jharkhand,4.6,3,0.1,0,6.5,6.5,0.4,6.1,1.2,4.2,0.8,0.1,0.2,5.5,0.5,0.6,0.6,0.1,1.4,3.9,1.8,2.1,23.4,8.8,14.6,6.6,0.2,0.3,0.8,0.7,0.9,0.1,4.1,1.5,8,1.2,0,0,0,0,0.3,7.3,7.3,1.6,5.2,3.3,1.1,0,0,0.8,0.1,0,0,10.2,4.9,4.8,0.1,1.6,7.6,0.4,0,39.9,135.1
12,Karnataka,2.5,4,0.1,0.2,1.9,1.9,0.1,1.9,0.1,3.8,2.6,0,0.1,0.6,0.8,0.4,0.4,0.7,3.1,9.8,8,1.8,33.5,15.7,17.8,10.6,0.3,0.3,0.3,0.2,0.1,0,9.6,0.7,12.1,0.6,0.1,0.1,0,0.1,0.7,2,2,0.8,16.7,1.8,1.7,0.1,0.4,12.8,0.5,0,0.4,8.9,16.9,16,0.8,0.4,55.2,0,0,51.9,224
13,Kerala,0.9,1.7,0.2,5.8,6.9,6.9,0.1,6.8,0.2,0.8,0.2,0,0,0.4,0.4,0.3,0.3,0.2,2.2,8,6,2,12.4,4.3,8.2,16.4,0,2.9,0,0,0,0.4,13.1,0.9,13.3,0.7,0.1,0.1,0.1,0,1.6,5.2,5.2,0,21.9,6.3,0.7,0.2,0.3,14.4,1.5,0,1.4,20.2,9.7,9.5,0.1,0.1,368.3,0,0.4,246.3,723.2
14,Madhya Pradesh,3,3.3,0.2,0.1,11.9,11.9,0.7,11.2,0.2,8.8,4.1,0,0.1,5.6,1.9,0.2,0.2,0.3,2.4,14.7,11.7,2.9,38.4,20.6,17.8,2.9,0.1,0.1,0,0,0,0,2.7,0.6,2.5,0.2,0.1,0.1,0,0,1.1,7.3,7.2,1.8,21.8,6.9,0.2,0.1,1,13.6,1.1,0,1,14.3,11.7,11,0.7,0.2,53.8,0.1,0.1,172,348.3
15,Maharashtra,2.1,2.3,0.1,0,7.3,7.3,0.2,7,0,6.9,4.9,0,0,2.2,1,0.7,0.6,0.2,7.2,13.9,10.9,3,51.3,18,33.3,7,0.1,0.1,0.2,0.1,0.1,0,6.6,1.7,8.8,0.8,0.2,0.2,0.1,0.1,1.1,6.7,6.7,0.5,20.6,8.4,0.8,0.2,2.5,8.8,2,0.2,1.7,13.5,11,10.6,0.4,0.8,26.2,0,0.1,60.4,231.2
16,Manipur,3.1,7.6,0,0,3.6,3.6,0,3.6,0.1,7,0.6,0,0.5,7.1,2.3,0,0,0,0.3,3.3,2.1,1.2,51.8,44.7,7.1,6.4,0,0.1,0,0,0,0.8,5.2,2,4.8,0.8,0.2,0.2,0,0.1,2.9,8.7,8.7,0,6.6,0.2,0.5,0.2,0.3,5.4,0.2,0,0.2,3.1,4.6,4.4,0.3,2.6,21.6,0,0,14.9,149.5
17,Meghalaya,5.4,4.1,0.1,0,6.8,6.8,0.4,6.5,1.7,7.7,1.8,0.1,1.6,0.9,3.8,1.5,1.3,0.1,3.2,7.7,5.3,2.4,29.8,6.4,23.4,0,0,0,0,0,0,0,0,1.7,7,1.9,0.1,0.1,0,0,1.2,4.5,4.5,0.1,7,1.6,0.1,0,0.2,5,1.5,0.1,1.4,3.2,4.9,4.9,0,6.3,5.1,0,0.1,44.9,148.2
18,Mizoram,3.4,2.3,0.9,0,11.3,11.3,0.8,10.5,1.2,1.4,0.9,0,0.1,0.2,0.3,0.3,0.3,0,0.5,59.9,37.3,22.6,81,7.7,73.4,0.3,0.1,0,0,0,0,0,0.2,2.2,6.7,1.1,1,1,0.4,0.3,1.6,7.1,7.1,0,14.6,10.4,1.8,0.2,0.2,2.1,0.4,0,0.2,1.8,4.4,4,0.4,2.1,1.7,0,0,18.1,211.2
19,Nagaland,2.2,2.5,0.3,0,3.1,3.1,0,3.1,0.1,3.6,2.2,0.2,0.6,0.2,0.6,0.1,0.1,0,1.7,2.6,1.8,0.8,19.6,12.7,6.9,0.4,0.3,0,0,0,0,0.2,0,0.5,2.1,1.3,0.2,0.2,0.1,0,0.3,1.1,1.1,0,0.7,0.5,0,0,0.2,0,0.8,0,0.7,0.4,1.2,0.8,0.3,6.6,0.6,0,0,5.5,55.1
20,Odisha,3.5,5.8,0.1,0,10.8,10.8,0.5,10.3,0.7,7.7,2.8,0,0,5.8,1.9,0.9,0.9,0.3,4.2,9.6,8.1,1.5,23.8,8.4,15.4,4.7,0,0.1,0,0,0,0.1,4.3,1.2,6.9,0.1,0.1,0.1,0,0,1.2,10.3,10.3,1.7,31.1,4.2,9.4,0.3,1.1,16.1,2.3,0,2.2,17.2,10.1,10,0.1,1.4,13.5,0.1,0,59.8,197.3
21,Punjab,2.4,3.1,0.4,0.1,6.7,6.7,0.2,6.4,1,5.9,0.3,0.1,0,7.3,2.1,0.1,0.1,0.5,0.5,9.7,7.1,2.6,17.6,6.8,10.8,0,0,0,0,0,0,0,0,1.1,13,0.1,0.1,0.1,0,0,0.3,8.4,8.4,0.6,8.4,3,0.5,0.1,0.5,4.3,0.2,0,0.2,11.9,11.6,11.4,0.1,0.2,7.8,0,0.3,34.8,131.2
22,Rajasthan,2.2,2.3,0.1,0.2,10.5,10.5,1.2,9.4,1.2,7.5,1.7,0,0,6.8,2.5,0.1,0.1,0.1,1.7,8.6,5.9,2.7,40.2,25.1,15.1,0.6,0,0,0,0,0,0,0.5,0.7,30.3,6.4,0.1,0.1,0,0,0.7,1.9,1.9,1.3,13.9,1.9,0.7,0,0.4,11,0,0,0,41.6,13,12.9,0.1,0.4,19.3,0,0.1,99.2,273.9
23,Sikkim,2.6,2.6,0.3,0,1.7,1.7,0,1.7,0.3,3.3,3.1,0,0,0.3,0,0,0,0,1.7,15.3,7.3,7.9,17.3,3.1,14.2,0.8,0,0.3,0,0,0,0,0.5,0.6,5.8,0.6,0.2,0,0,0,0.6,7.8,7.8,0.3,7,1.7,0,0.3,1.3,3.7,0.7,0,0.7,0.7,10.7,9.8,0.9,0.3,24.3,0,0.2,19.2,119.3
24,Tamil Nadu,2.5,4.2,0.1,0,1.2,1.2,0,1.2,0.1,2.3,0.3,0,0,3.2,0.3,0.1,0.1,0.1,2.5,7.4,4.7,2.7,16.2,5.4,10.8,3.8,0,0,0.6,0.3,0.1,0,3,0.4,6.6,0.4,0.3,0.3,0.1,0.1,1,1.7,1.7,0.2,3.4,0.6,0.1,0,0,2.6,0.1,0,0.1,5.5,21.9,21.6,0.3,1.8,78.5,0.1,0,113.1,271.2
25,Telangana,3.2,3.1,0.3,0,6.1,6.1,0.1,5.9,0.2,2.9,1.2,0,0,1.6,0.8,0.1,0.1,0,1,13.8,9.4,4.4,40.4,13.3,27,1.5,0,0.1,0,0,0,0,1.3,1.7,21.9,0.8,0.1,0.1,0,0.1,1.2,2.8,2.8,1.4,19.8,3.4,1.1,0.3,4.2,10.8,7.1,0.9,5,40.3,18.8,18.2,0.6,0.9,40.3,0.6,0,97,290.7
26,Tripura,3.8,2.3,0.1,0,11.5,11.5,0.5,10.9,2,4,0.6,0.1,0.1,3,1.8,0.1,0.1,0,0.9,4.8,3.6,1.2,7.2,1.9,5.4,2,0,0.2,0,0,0,0,1.8,1.1,3.1,0.8,0.1,0.1,0,0.1,0.7,27.8,27.7,1.5,19,1.5,9.1,0,0,8.3,0.3,0.1,0.3,27,3.6,3.6,0,0.3,13.5,0,0.1,17.2,123.5
27,Uttar Pradesh,2.2,2.3,0.6,0.3,3,2.9,0.4,2.4,0.4,5.6,0.9,0.4,0,8.1,0.4,0.1,0.1,0,1.7,3.1,2.1,1,22.9,13.8,9.1,3.2,0,0,0.3,0,0.3,0.1,2,1.7,4.3,0.7,0.1,0.1,0,0,0.2,4.8,4.8,2.3,7.7,5.8,1.1,0.1,0.5,0.3,0,0,0,8.5,7.4,7.3,0.1,0.4,7.6,0,0.1,32.4,112.1
28,Uttarakhand,1.8,1.9,0.4,0.1,5.5,5.4,0.2,5.3,0.2,7.2,2.5,0,0,0.6,4.3,0.2,0.2,0,1.2,3.2,2.1,1.1,15.3,7.4,7.9,4.4,0,0,0,0,0,0.1,4.3,1.2,5.6,3.1,0.2,0.2,0.2,0,0.1,1,1,1,6.2,1,0.3,0.1,0.3,4.4,0.2,0,0.2,7.9,5.4,5.3,0.1,0.2,7.1,0,0.1,27.3,97.2
29,West Bengal,2.3,10.7,0.4,1.2,2.6,2.6,0.2,2.4,3.4,6.6,2.8,0.1,0.1,2.9,2.3,0.2,0.2,1.5,0.5,0.4,0.3,0.1,21.4,4.7,16.7,4.4,0,0.1,0,0,0,0,4.2,2,7.3,0.8,0.4,0.4,0,0.4,0.5,19.4,19.4,1.1,11.2,1.5,2.3,0.2,0.5,6.7,1,0,1,44.6,6.6,6.4,0.2,0.6,12.8,0.1,0.1,61,193
TOTAL (STATES),TOTAL (STATES),2.6,3.7,0.3,0.4,5.4,5.4,0.3,5.1,0.7,6.1,1.9,0.1,0.1,5.3,1.4,0.3,0.3,0.3,2.3,8.2,6.3,1.9,29.3,13.4,15.9,5.3,0.1,0.2,0.2,0.1,0.2,0,4.5,1.5,8.8,1.1,0.1,0.1,0,0.1,0.8,7.5,7.5,1.3,12.9,3.8,1.4,0.1,0.9,6.7,1.2,0.1,1.1,18.4,10.7,10.4,0.3,0.8,35.7,0.1,0.1,76.8,222.9
